lap,position,seconds,nationality,drivername,name,time_gap
63,2,73.711,British,Lewis Hamilton,Dutch Grand Prix,3882.0
64,2,73.705,British,Lewis Hamilton,Dutch Grand Prix,4356.0
65,2,73.841,British,Lewis Hamilton,Dutch Grand Prix,4257.0
66,2,73.662,British,Lewis Hamilton,Dutch Grand Prix,8417.0
67,2,73.509,British,Lewis Hamilton,Dutch Grand Prix,6883.0
68,2,74.884,British,Lewis Hamilton,Dutch Grand Prix,21613.0
69,2,73.981,British,Lewis Hamilton,Dutch Grand Prix,51838.0
70,2,76.335,British,Lewis Hamilton,Dutch Grand Prix,6327.0
71,2,92.729,British,Lewis Hamilton,Dutch Grand Prix,18679.0
72,2,71.097,British,Lewis Hamilton,Dutch Grand Prix,4055.0
1,3,80.387,Finnish,Valtteri Bottas,Dutch Grand Prix,19594.0
2,3,75.861,Finnish,Valtteri Bottas,Dutch Grand Prix,5314.0
3,3,75.699,Finnish,Valtteri Bottas,Dutch Grand Prix,5712.0
4,3,75.152,Finnish,Valtteri Bottas,Dutch Grand Prix,10462.0
5,3,75.169,Finnish,Valtteri Bottas,Dutch Grand Prix,37915.0
6,3,75.53,Finnish,Valtteri Bottas,Dutch Grand Prix,4462.0
7,3,75.635,Finnish,Valtteri Bottas,Dutch Grand Prix,5659.0
8,3,75.237,Finnish,Valtteri Bottas,Dutch Grand Prix,6463.0
9,3,75.755,Finnish,Valtteri Bottas,Dutch Grand Prix,18749.0
10,3,75.656,Finnish,Valtteri Bottas,Dutch Grand Prix,7195.0
11,3,75.685,Finnish,Valtteri Bottas,Dutch Grand Prix,19177.0
12,3,75.511,Finnish,Valtteri Bottas,Dutch Grand Prix,3635.0
13,3,75.509,Finnish,Valtteri Bottas,Dutch Grand Prix,4878.0
14,3,75.476,Finnish,Valtteri Bottas,Dutch Grand Prix,5709.0
15,3,75.566,Finnish,Valtteri Bottas,Dutch Grand Prix,3986.0
16,3,75.706,Finnish,Valtteri Bottas,Dutch Grand Prix,5421.0
17,3,75.695,Finnish,Valtteri Bottas,Dutch Grand Prix,3059.0
18,3,75.499,Finnish,Valtteri Bottas,Dutch Grand Prix,3055.0
19,3,75.724,Finnish,Valtteri Bottas,Dutch Grand Prix,3567.0
20,3,75.416,Finnish,Valtteri Bottas,Dutch Grand Prix,3871.0
21,2,75.496,Finnish,Valtteri Bottas,Dutch Grand Prix,17053.0
22,1,75.593,Finnish,Valtteri Bottas,Dutch Grand Prix,18817.0
23,1,75.958,Finnish,Valtteri Bottas,Dutch Grand Prix,6403.0
24,1,76.486,Finnish,Valtteri Bottas,Dutch Grand Prix,21196.0
25,1,76.139,Finnish,Valtteri Bottas,Dutch Grand Prix,18776.0
26,1,75.82,Finnish,Valtteri Bottas,Dutch Grand Prix,5540.0
