raceId,lap,leaderGap,driverId,drivername
1064,16,1.347,20,Sebastian Vettel
1064,17,1.445,20,Sebastian Vettel
1064,18,1.608,20,Sebastian Vettel
1064,19,3.283,20,Sebastian Vettel
1064,20,2.574,20,Sebastian Vettel
1064,21,2.869,20,Sebastian Vettel
1064,22,3.524,20,Sebastian Vettel
1064,23,5.175,20,Sebastian Vettel
1064,24,3.682,20,Sebastian Vettel
1064,25,3.338,20,Sebastian Vettel
1064,26,3.402,20,Sebastian Vettel
1064,27,2.419,20,Sebastian Vettel
1064,28,2.314,20,Sebastian Vettel
1064,29,1.473,20,Sebastian Vettel
1064,30,2.057,20,Sebastian Vettel
1064,31,1.46,20,Sebastian Vettel
1064,32,2.273,20,Sebastian Vettel
1064,33,2.491,20,Sebastian Vettel
1064,34,3.616,20,Sebastian Vettel
1064,35,3.318,20,Sebastian Vettel
1064,36,10.396,20,Sebastian Vettel
1064,37,2.915,20,Sebastian Vettel
1064,38,2.449,20,Sebastian Vettel
1064,39,3.019,20,Sebastian Vettel
1064,40,2.356,20,Sebastian Vettel
1064,41,3.93,20,Sebastian Vettel
1064,42,3.666,20,Sebastian Vettel
1064,43,3.145,20,Sebastian Vettel
1064,44,5.833,20,Sebastian Vettel
1064,45,19.568,20,Sebastian Vettel
1064,46,1.281,20,Sebastian Vettel
1064,47,1.413,20,Sebastian Vettel
1064,48,2.308,20,Sebastian Vettel
1064,49,2.785,20,Sebastian Vettel
1064,50,2.381,20,Sebastian Vettel
1064,51,2.331,20,Sebastian Vettel
1064,52,2.842,20,Sebastian Vettel
1064,53,4.659,20,Sebastian Vettel
1064,54,2.682,20,Sebastian Vettel
1064,55,1.186,20,Sebastian Vettel
1064,56,0.873,20,Sebastian Vettel
1064,57,1.259,20,Sebastian Vettel
1064,58,1.46,20,Sebastian Vettel
1064,59,0.975,20,Sebastian Vettel
1064,60,1.209,20,Sebastian Vettel
1064,61,1.739,20,Sebastian Vettel
1064,62,0.822,20,Sebastian Vettel
1064,63,0.247,20,Sebastian Vettel
1064,64,0.293,20,Sebastian Vettel
1064,65,0.653,20,Sebastian Vettel
1064,66,0.419,20,Sebastian Vettel
1064,67,0.517,20,Sebastian Vettel
1064,68,0.0,20,Sebastian Vettel
1064,69,2.808,20,Sebastian Vettel
1064,70,4.728,20,Sebastian Vettel
1064,71,,20,Sebastian Vettel
1064,72,,20,Sebastian Vettel
1064,1,18.409,815,Sergio Pérez
1064,2,1.671,815,Sergio Pérez
1064,3,2.999,815,Sergio Pérez
1064,4,2.779,815,Sergio Pérez
1064,5,3.489,815,Sergio Pérez
1064,6,4.462,815,Sergio Pérez
1064,7,2.904,815,Sergio Pérez
1064,8,6.463,815,Sergio Pérez
1064,9,18.749,815,Sergio Pérez
1064,10,0.0,815,Sergio Pérez
1064,11,0.0,815,Sergio Pérez
1064,12,0.263,815,Sergio Pérez
1064,13,0.231,815,Sergio Pérez
1064,14,0.628,815,Sergio Pérez
1064,15,2.452,815,Sergio Pérez
1064,16,0.095,815,Sergio Pérez
